"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"292","SWE","OSR",7,"SWE_OSR_07_B3",948,60,0.723677927616003,1297,629,1297,1291,0.4157,-0.645724708876298,0,-1.55423160911155,0,0
"293","SWE","OSR",8,"SWE_OSR_08_B1",1309,218,1.1604876923862,1950,611,1279,1950,0.4437,-0.516357822576479,112.291831447121,0.470723640551951,1.07469482857367,9
"294","SWE","OSR",8,"SWE_OSR_08_B2",620,44,0.557770768961853,1083,620,738,1083,0.4437,-0.516357822576479,112.291831447121,0.470723640551951,1.07469482857367,9
"295","SWE","OSR",8,"SWE_OSR_08_B3",1814,138,1.04199838886285,1837,648,1478,1837,0.4437,-0.516357822576479,112.291831447121,0.470723640551951,1.07469482857367,9
"296","SWE","APP",9,"SWE_APP_09_B1",1542,145,1.22883716444786,1941,568,1257,1941,0.8154,1.20098759305362,123.582592491235,0.498318680966146,1.03649916282972,9
"297","SWE","APP",9,"SWE_APP_09_B2",553,148,0.337145864130687,891,636,855,891,0.8154,1.20098759305362,123.582592491235,0.498318680966146,1.03649916282972,9
"298","SWE","APP",9,"SWE_APP_09_B3",1749,121,1.01287651244673,1765,641,1324,1765,0.8154,1.20098759305362,123.582592491235,0.498318680966146,1.03649916282972,9
"299","SWE","APP",10,"SWE_APP_10_B1",1594,202,1.21436873961706,2095,622,1433,2095,0.8943,1.56552499766276,2.05733364989016,-0.668830845732099,1.42064779568407,9
"300","SWE","APP",10,"SWE_APP_10_B2",1421,30,0.895990373074697,1536,627,1009,1536,0.8943,1.56552499766276,2.05733364989016,-0.668830845732099,1.42064779568407,9
"301","SWE","APP",10,"SWE_APP_10_B3",1033,158,0.913638210425024,1506,604,1076,1506,0.8943,1.56552499766276,2.05733364989016,-0.668830845732099,1.42064779568407,9
"302","SWE","APP",11,"SWE_APP_11_B1",1116,235,1.07840958135059,1764,600,1090,1764,0.3756,-0.830996571041397,434.693266361111,0.860714455714598,1.06959226423239,9
