IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
644.1354,0.1728565,644.1354,0.189592
644.6176,0.1696301,644.6176,0.1877353
645.0997,0.1683774,645.0997,0.1868935
645.5818,0.1683717,645.5818,0.1862582
646.064,0.1690349,646.064,0.1852668
646.5461,0.1699254,646.5461,0.1835869
647.0282,0.1707007,647.0282,0.1810665
647.5104,0.1710778,647.5104,0.1776748
647.9924999999999,0.1708105,647.9924999999999,0.1734608
648.4746,0.1696974,648.4746,0.1685322
648.9568,0.1676079,648.9568,0.1630439
649.4389,0.1645054,649.4389,0.1571814
649.921,0.160446,649.921,0.15113
650.4032,0.1555509,650.4032,0.1450409
650.8853,0.1499659,650.8853,0.1390034
651.3674,0.1438282,651.3674,0.13304
651.8496,0.1372521,651.8496,0.1271232
652.3317,0.1303353,652.3317,0.1212082
652.8138,0.1231735,652.8138,0.1152678
653.296,0.1158757,653.296,0.1093154
653.7781,0.1085734,653.7781,0.1034093
654.2603,0.1014225,654.2603,0.09763924
654.7424,0.094598,654.7424,0.09210177
655.2245,0.08828066,655.2245,0.08687516
655.7067,0.08263372,655.7067,0.08200058
656.1888,0.07777368,656.1888,0.07747634
656.671,0.07374071,656.671,0.073266
657.1531,0.0704825,657.1531,0.06931961
657.6353,0.06785697,657.6353,0.06559923
658.1174,0.06565619,658.1174,0.06210025
658.5995,0.06364559,658.5995,0.05885721
659.0817,0.0616111,659.0817,0.05593038
659.5638,0.0594015,659.5638,0.05337692
660.0459,0.05695713,660.0459,0.05121744
660.5281,0.05431195,660.5281,0.04941546
661.0102000000001,0.05157504,661.0102000000001,0.04788119
661.4923,0.04889544,661.4923,0.04649822
661.9745,0.04642901,661.9745,0.04516343
662.4566,0.04430728,662.4566,0.04382163
662.9387,0.04261614,662.9387,0.04248158
663.4209,0.041381,663.4209,0.041205
663.903,0.04056718,663.903,0.04007381
664.3851,0.04009525,664.3851,0.03915147
664.8673,0.03986521,664.8673,0.03845779
665.3493999999999,0.03978009,665.3493999999999,0.03796244
665.8315,0.03976015,665.8315,0.03759108
666.3137,0.03974672,666.3137,0.03723582
666.7958,0.03969948,666.7958,0.0367703
667.278,0.03959352,667.278,0.03608653
667.7601,0.03941901,667.7601,0.03516863
668.2422,0.03918095,668.2422,0.03415898
668.7243999999999,0.03889559,668.7243999999999,0.03330179
669.2065,0.03857601,669.2065,0.03276915
669.6887,0.03822587,669.6887,0.03256378
670.1708,0.03784044,670.1708,0.03257467
670.653,0.03741264,670.653,0.03266704
671.1351,0.03693438,671.1351,0.03272649
671.6172,0.03639668,671.6172,0.03266758
672.0993999999999,0.03578852,672.0993999999999,0.03243459
672.5815,0.03509738,672.5815,0.03200543
673.0637,0.03431192,673.0637,0.03139615
673.5458,0.03343092,673.5458,0.03065941
674.0279,0.03247297,674.0279,0.02987063
674.5101,0.03148713,674.5101,0.02910803
674.9922,0.03055438,674.9922,0.02843352
675.4743,0.02977961,675.4743,0.02788172
675.9565,0.02926778,675.9565,0.02745662
676.4386,0.02909233,676.4386,0.02713631
676.9207,0.0292642,676.9207,0.02688279
677.4029,0.02971939,677.4029,0.02665574
677.885,0.03033179,677.885,0.0264263
678.3671000000001,0.03094745,678.3671000000001,0.02618667
678.8493,0.03142318,678.8493,0.02595214
679.3314,0.03165951,679.3314,0.02575345
679.8135,0.03161767,679.8135,0.02562394
680.2957,0.03131783,680.2957,0.02558106
680.7778,0.03082265,680.7778,0.02561227
681.2599,0.03021289,681.2599,0.02567185
681.7421000000001,0.02956589,681.7421000000001,0.02569002
682.2242,0.02894514,682.2242,0.0255928
682.7064,0.02840143,682.7064,0.02532515
683.1885,0.02797893,683.1885,0.02487218
683.6707,0.02771602,683.6707,0.02426977
684.1528,0.02763681,684.1528,0.02360007
684.6349,0.0277353,684.6349,0.02297259
685.1171000000001,0.02796327,685.1171000000001,0.02249426
685.5992,0.02822906,685.5992,0.02224351
686.0814,0.02841353,686.0814,0.02225331
686.5635,0.02839793,686.5635,0.0225085
687.0456,0.02809793,687.0456,0.022953
687.5278,0.02749078,687.5278,0.02350171
688.0099,0.02662822,688.0099,0.02405704
688.492,0.02562521,688.492,0.02452444
688.9742,0.02462812,688.9742,0.0248272
689.4563000000001,0.02377416,689.4563000000001,0.02491426
689.9384,0.02315991,689.9384,0.02476269
690.4206,0.02282603,690.4206,0.02437648
690.9027,0.02276269,690.9027,0.02378434
691.3848,0.02292351,691.3848,0.02303782
691.867,0.02324404,691.867,0.02220724
692.3491,0.02365497,692.3491,0.02137399
692.8312,0.02408919,692.8312,0.02061923
693.3134,0.02448275,693.3134,0.02001148
693.7954999999999,0.02477416,693.7954999999999,0.01959684
694.2776,0.02490373,694.2776,0.01939432
694.7598,0.02481942,694.7598,0.01939577
695.2419,0.02448584,695.2419,0.01956783
695.7241,0.02389548,695.7241,0.01985832
696.2062,0.02307493,696.2062,0.02020332
696.6884,0.02208342,696.6884,0.02053773
697.1704999999999,0.02100226,697.1704999999999,0.02080641
697.6526,0.01992159,697.6526,0.02097492
698.1348,0.01892659,698.1348,0.021037
698.6169,0.01808773,698.6169,0.02101707
699.0991,0.01745491,699.0991,0.02096515
699.5812,0.01705425,699.5812,0.02094345
